1.0836 1.2718 2.3362 1.3390
1.0999 1.2985 2.3525 1.3658
1.1166 1.3289 2.3692 1.3961
1.1334 1.3596 2.3860 1.4268
1.1498 1.3877 2.4024 1.4549
1.1667 1.4179 2.4194 1.4851
1.1834 1.4468 2.4360 1.5141
1.1999 1.4759 2.4525 1.5431
1.2167 1.5058 2.4694 1.5731
1.2331 1.5338 2.4858 1.6011
1.2499 1.5634 2.5026 1.6306
1.2670 1.5939 2.5196 1.6612
1.2833 1.6233 2.5360 1.6905
1.2999 1.6533 2.5526 1.7205
1.3168 1.6835 2.5694 1.7507
1.3332 1.7131 2.5858 1.7803
1.3500 1.7430 2.6026 1.8102
1.3667 1.7721 2.6193 1.8394
1.3833 1.8031 2.6359 1.8703
1.4002 1.8332 2.6528 1.9004
1.4166 1.8616 2.6693 1.9288
1.4335 1.8925 2.6861 1.9598
1.4503 1.9244 2.7030 1.9917
1.4664 1.9538 2.7191 2.0210
1.4833 1.9864 2.7360 2.0536
1.5001 2.0183 2.7528 2.0855
1.5164 2.0485 2.7691 2.1157
1.5333 2.0805 2.7860 2.1478
1.5499 2.1119 2.8026 2.1791
1.5666 2.1433 2.8192 2.2105
1.5836 2.1763 2.8362 2.2435
1.6000 2.2068 2.8526 2.2740
1.6167 2.2396 2.8694 2.3068
1.6337 2.2733 2.8863 2.3405
1.6500 2.3038 2.9026 2.3711
1.6668 2.3378 2.9195 2.4050
1.6834 2.3697 2.9360 2.4369
1.6999 2.4011 2.9525 2.4683
1.7168 2.4350 2.9695 2.5022
1.7335 2.4657 2.9861 2.5329
1.7502 2.4978 3.0028 2.5650
1.7669 2.5304 3.0196 2.5976
1.7832 2.5614 3.0359 2.6286
1.8001 2.5953 3.0527 2.6625
1.8166 2.6272 3.0692 2.6944
1.8332 2.6606 3.0859 2.7278
1.8501 2.6929 3.1027 2.7601
1.8667 2.7237 3.1193 2.7909
1.8834 2.7565 3.1360 2.8237
1.9002 2.7891 3.1528 2.8563
1.9166 2.8201 3.1692 2.8873
1.9335 2.8547 3.1861 2.9219
1.9502 2.8863 3.2028 2.9535
1.9666 2.9175 3.2192 2.9847
1.9833 2.9500 3.2360 3.0172
2.0000 2.9829 3.2526 3.0502
2.0166 3.0138 3.2693 3.0810
2.0334 3.0465 3.2860 3.1138
2.0498 3.0742 3.3024 3.1414
2.0664 3.1004 3.3191 3.1676
2.0832 3.1278 3.3359 3.1950
2.0999 3.1540 3.3526 3.2212
2.1166 3.1824 3.3693 3.2496
2.1335 3.2129 3.3861 3.2801
2.1499 3.2418 3.4025 3.3090
2.1667 3.2737 3.4194 3.3409
2.1832 3.3026 3.4359 3.3699
2.1999 3.3343 3.4526 3.4015
2.2167 3.3651 3.4693 3.4323
2.2331 3.3936 3.4858 3.4608
2.2498 3.4243 3.5024 3.4916
2.2669 3.4574 3.5195 3.5246
2.2834 3.4878 3.5360 3.5550
2.3002 3.5215 3.5528 3.5888
2.3168 3.5528 3.5694 3.6200
2.3333 3.5836 3.5860 3.6508
2.3502 3.6158 3.6028 3.6831
2.3668 3.6469 3.6194 3.7141
2.3832 3.6769 3.6358 3.7441
2.4001 3.7080 3.6528 3.7753
2.4166 3.7379 3.6692 3.8051
2.4332 3.7700 3.6859 3.8372
2.4500 3.8005 3.7027 3.8677
2.4664 3.8325 3.7190 3.8997
2.4832 3.8674 3.7358 3.9346
2.5001 3.9020 3.7527 3.9692
2.5164 3.9358 3.7690 4.0031
2.5334 3.9725 3.7860 4.0397
2.5499 4.0060 3.8026 4.0732
2.5666 4.0409 3.8192 4.1081
2.5835 4.0764 3.8361 4.1436
2.5999 4.1094 3.8525 4.1766
2.6163 4.1444 3.8690 4.2116
2.6331 4.1804 3.8857 4.2476
2.6494 4.2150 3.9021 4.2822
2.6664 4.2520 3.9190 4.3193
2.6833 4.2884 3.9360 4.3556
2.6998 4.3256 3.9524 4.3928
2.7166 4.3634 3.9693 4.4306
2.7332 4.3999 3.9858 4.4671
2.7500 4.4386 4.0026 4.5058
2.7670 4.4775 4.0196 4.5447
2.7832 4.5136 4.0359 4.5808
2.7998 4.5522 4.0524 4.6194
2.8166 4.5911 4.0692 4.6583
2.8330 4.6281 4.0856 4.6953
2.8502 4.6692 4.1028 4.7364
2.8667 4.7061 4.1194 4.7733
2.8833 4.7433 4.1359 4.8105
2.9001 4.7825 4.1528 4.8497
2.9165 4.8184 4.1692 4.8856
2.9332 4.8556 4.1859 4.9228
2.9500 4.8944 4.2027 4.9616
2.9666 4.9311 4.2192 4.9983
2.9834 4.9702 4.2361 5.0374
3.0000 5.0072 4.2527 5.0744
3.0048 5.0178 4.2574 5.0850
   

